Title,Date
"Senhor dos Céus: Temporada 3: Pacto de amor","07/07/2020"
"Senhor dos Céus: Temporada 3: Celos asesinos","07/07/2020"
"Senhor dos Céus: Temporada 3: Arrepentido","07/07/2020"
"Senhor dos Céus: Temporada 3: Beso bienvenido","07/07/2020"
"Mulher-Maravilha","07/07/2020"
"Senhor dos Céus: Temporada 3: Traicionada","06/07/2020"
"Senhor dos Céus: Temporada 3: Apoyo incondicional","06/07/2020"
"Senhor dos Céus: Temporada 3: En crisis","06/07/2020"
"Senhor dos Céus: Temporada 3: Intermediaria","06/07/2020"
"Senhor dos Céus: Temporada 3: La representante","06/07/2020"
"Senhor dos Céus: Temporada 3: Soplones","05/07/2020"
"Senhor dos Céus: Temporada 3: Jefe real","05/07/2020"
"Senhor dos Céus: Temporada 3: Juntos","05/07/2020"
"Senhor dos Céus: Temporada 3: Lealtad","05/07/2020"
"Senhor dos Céus: Temporada 3: Emboscado","05/07/2020"
"Senhor dos Céus: Temporada 3: Revelaciones","05/07/2020"
"Senhor dos Céus: Temporada 3: Padre enfurecido","05/07/2020"
"Senhor dos Céus: Temporada 3: Pacto siniestro","05/07/2020"
"Senhor dos Céus: Temporada 3: Cara a cara","04/07/2020"
"Senhor dos Céus: Temporada 3: Imperdonable","04/07/2020"
"Senhor dos Céus: Temporada 3: Ultrajada","04/07/2020"
"Senhor dos Céus: Temporada 3: Debilidad","04/07/2020"
"Senhor dos Céus: Temporada 3: Sacrificio","04/07/2020"
"Senhor dos Céus: Temporada 3: Orden mortal","04/07/2020"
"Senhor dos Céus: Temporada 3: Alianza","03/07/2020"
"Senhor dos Céus: Temporada 3: Desesperada","03/07/2020"
"Senhor dos Céus: Temporada 3: Acto atroz","03/07/2020"
"Senhor dos Céus: Temporada 3: Guerra familiar","03/07/2020"
"Senhor dos Céus: Temporada 3: El Seductor","03/07/2020"
"Senhor dos Céus: Temporada 3: Nuevo Chacorta","03/07/2020"
"Senhor dos Céus: Temporada 3: Destrozados","03/07/2020"
"Senhor dos Céus: Temporada 3: Todo sale mal","03/07/2020"
"Senhor dos Céus: Temporada 3: Viuda culpada","03/07/2020"
"Senhor dos Céus: Temporada 3: Inversiones","02/07/2020"
"Senhor dos Céus: Temporada 3: Reclamos","02/07/2020"
"Senhor dos Céus: Temporada 3: Intransigente","02/07/2020"
"Senhor dos Céus: Temporada 3: La sentencia","02/07/2020"
"Senhor dos Céus: Temporada 3: El ajuste","02/07/2020"
"Senhor dos Céus: Temporada 3: Escurridizo","02/07/2020"
"Senhor dos Céus: Temporada 3: Asalto mortal","02/07/2020"
"Senhor dos Céus: Temporada 3: El pacto","02/07/2020"
"Senhor dos Céus: Temporada 3: Proximidad","01/07/2020"
"Senhor dos Céus: Temporada 3: Asedio burlado","01/07/2020"
"Senhor dos Céus: Temporada 3: La Bestia","01/07/2020"
"Senhor dos Céus: Temporada 3: En familia","01/07/2020"
"Senhor dos Céus: Temporada 3: Odio sin fin","01/07/2020"
"Senhor dos Céus: Temporada 2: Leonor Ballesteros","01/07/2020"
"Senhor dos Céus: Temporada 2: Chema Venegas","01/07/2020"
"Senhor dos Céus: Temporada 2: Engaño","30/06/2020"
"Senhor dos Céus: Temporada 2: Despedida","30/06/2020"
"Senhor dos Céus: Temporada 2: Ximena","30/06/2020"
"Senhor dos Céus: Temporada 2: Sicarios","30/06/2020"
"Senhor dos Céus: Temporada 2: General Garnica","30/06/2020"
"Senhor dos Céus: Temporada 2: Entrega","30/06/2020"
"Senhor dos Céus: Temporada 2: Negociación","30/06/2020"
"Senhor dos Céus: Temporada 2: El Escuadrón de la Muerte","30/06/2020"
"Senhor dos Céus: Temporada 2: Apoyo","30/06/2020"
"Senhor dos Céus: Temporada 2: Protección","30/06/2020"
"Senhor dos Céus: Temporada 2: Inseguridad","29/06/2020"
"Senhor dos Céus: Temporada 2: Manipulación","29/06/2020"
"Senhor dos Céus: Temporada 2: Desaparición","29/06/2020"
"Senhor dos Céus: Temporada 2: Rutila","29/06/2020"
"Senhor dos Céus: Temporada 2: Patrón","29/06/2020"
"Senhor dos Céus: Temporada 2: Búsqueda","28/06/2020"
"Senhor dos Céus: Temporada 2: Informante","28/06/2020"
"Senhor dos Céus: Temporada 2: Ataque","28/06/2020"
"Senhor dos Céus: Temporada 2: Guerra","28/06/2020"
"Senhor dos Céus: Temporada 2: Manotas","28/06/2020"
"Senhor dos Céus: Temporada 2: Eliminado","28/06/2020"
"Senhor dos Céus: Temporada 2: Rodeados","28/06/2020"
"Senhor dos Céus: Temporada 2: Enfrentamiento","27/06/2020"
"Senhor dos Céus: Temporada 2: Matilde","27/06/2020"
"Senhor dos Céus: Temporada 2: Traicionado","27/06/2020"
"Senhor dos Céus: Temporada 2: Condena","27/06/2020"
"Senhor dos Céus: Temporada 2: Victima","27/06/2020"
"Senhor dos Céus: Temporada 2: Pacto","27/06/2020"
"Senhor dos Céus: Temporada 2: Encuestas","26/06/2020"
"Senhor dos Céus: Temporada 2: Mónica","26/06/2020"
"Senhor dos Céus: Temporada 2: Atracción","26/06/2020"
"Senhor dos Céus: Temporada 2: Tortura","26/06/2020"
"Senhor dos Céus: Temporada 2: Ave María Purísima","26/06/2020"
"Senhor dos Céus: Temporada 2: Susto","26/06/2020"
"Senhor dos Céus: Temporada 2: Fuga","25/06/2020"
"Senhor dos Céus: Temporada 2: Seducción","25/06/2020"
"Senhor dos Céus: Temporada 2: Confesión","25/06/2020"
"Senhor dos Céus: Temporada 2: La Gober","25/06/2020"
"Senhor dos Céus: Temporada 2: Asesino","25/06/2020"
"Senhor dos Céus: Temporada 2: Danilo Ferro","25/06/2020"
"Senhor dos Céus: Temporada 2: Reclamo","25/06/2020"
"Senhor dos Céus: Temporada 2: Secreto","25/06/2020"
"Senhor dos Céus: Temporada 2: Emboscada","25/06/2020"
"Senhor dos Céus: Temporada 2: Secuestro","25/06/2020"
"Senhor dos Céus: Temporada 2: Venganza","24/06/2020"
"Senhor dos Céus: Temporada 2: Perdida","24/06/2020"
"Senhor dos Céus: Temporada 2: Impedimento","24/06/2020"
"Senhor dos Céus: Temporada 2: Huida","24/06/2020"
"Senhor dos Céus: Temporada 2: Miedo","24/06/2020"
"Senhor dos Céus: Temporada 2: La vieja casa","24/06/2020"
"Senhor dos Céus: Temporada 2: Intento de soborno","23/06/2020"
"Senhor dos Céus: Temporada 2: Denuncia","23/06/2020"
"Senhor dos Céus: Temporada 2: Nuevas oportunidades","23/06/2020"
"Senhor dos Céus: Temporada 2: Malos entendidos","23/06/2020"
"Senhor dos Céus: Temporada 2: Traición","23/06/2020"
"Senhor dos Céus: Temporada 2: Unión","23/06/2020"
"Senhor dos Céus: Temporada 2: El amor de Lai","23/06/2020"
"Senhor dos Céus: Temporada 2: Heriberto","23/06/2020"
"Senhor dos Céus: Temporada 2: El fruto del amor","23/06/2020"
"Senhor dos Céus: Temporada 2: Decisiones","22/06/2020"
"Senhor dos Céus: Temporada 2: Determinación","22/06/2020"
"Senhor dos Céus: Temporada 2: Al descubierto","22/06/2020"
"Senhor dos Céus: Temporada 2: Libertad","22/06/2020"
"Senhor dos Céus: Temporada 2: Amenaza","22/06/2020"
"Senhor dos Céus: Temporada 2: Rehén","22/06/2020"
"Senhor dos Céus: Temporada 2: La condena","22/06/2020"
"Senhor dos Céus: Temporada 2: Confesiones","22/06/2020"
"Senhor dos Céus: Temporada 2: Muerte inocente","22/06/2020"
"Senhor dos Céus: Temporada 2: Celos","21/06/2020"
"Senhor dos Céus: Temporada 2: Bombas","21/06/2020"
"Senhor dos Céus: Temporada 2: Entrega especial","21/06/2020"
"Senhor dos Céus: Temporada 2: Escondite","21/06/2020"
"Senhor dos Céus: Temporada 2: Estrategia","21/06/2020"
"Senhor dos Céus: Temporada 2: Perdóname mi amor","21/06/2020"
"Senhor dos Céus: Temporada 2: Propuestas","21/06/2020"
"Senhor dos Céus: Temporada 2: Detención","21/06/2020"
"Senhor dos Céus: Temporada 2: Reencuentro","21/06/2020"
"Senhor dos Céus: Temporada 2: Trampa","20/06/2020"
"Senhor dos Céus: Temporada 2: Nuevos horizontes","20/06/2020"
"Senhor dos Céus: Temporada 2: Escape","20/06/2020"
"Senhor dos Céus: Temporada 2: Rescate y emboscada","20/06/2020"
"Senhor dos Céus: Temporada 2: Sorpresa y venganza","20/06/2020"
"Senhor dos Céus: Temporada 1: Vivo ou morto","20/06/2020"
"Senhor dos Céus: Temporada 1: Um novo rosto","20/06/2020"
"Senhor dos Céus: Temporada 1: Recomeçar","20/06/2020"
"Senhor dos Céus: Temporada 1: Tiroteio","20/06/2020"
"Senhor dos Céus: Temporada 1: Furioso e no centro das atenções","20/06/2020"
"Senhor dos Céus: Temporada 1: Sem mim você morre","20/06/2020"
"Senhor dos Céus: Temporada 1: Os pratos quebrados","20/06/2020"
"Senhor dos Céus: Temporada 1: Complô","19/06/2020"
"Senhor dos Céus: Temporada 1: Sequestrados","19/06/2020"
"Senhor dos Céus: Temporada 1: Finalmente juntos","19/06/2020"
"Senhor dos Céus: Temporada 1: A culpa é dela","19/06/2020"
"Senhor dos Céus: Temporada 1: O nome do pai","19/06/2020"
"Senhor dos Céus: Temporada 1: Caminho para a verdade","19/06/2020"
"Senhor dos Céus: Temporada 1: A fuga","19/06/2020"
"Senhor dos Céus: Temporada 1: Prisioneira em minha casa","19/06/2020"
"Senhor dos Céus: Temporada 1: Não diga nada","19/06/2020"
"Senhor dos Céus: Temporada 1: A ameaça","19/06/2020"
"Senhor dos Céus: Temporada 1: Morta de ciúmes","19/06/2020"
"Senhor dos Céus: Temporada 1: A boca bem fechada","18/06/2020"
"Senhor dos Céus: Temporada 1: Seguindo os passos de Casillas","18/06/2020"
"Senhor dos Céus: Temporada 1: Os donos do mundo","18/06/2020"
"Senhor dos Céus: Temporada 1: Encruzilhada","18/06/2020"
"Senhor dos Céus: Temporada 1: A traição","18/06/2020"
"Senhor dos Céus: Temporada 1: Contrarrelógio","18/06/2020"
"Senhor dos Céus: Temporada 1: Provocadora","18/06/2020"
"Senhor dos Céus: Temporada 1: O infarto","18/06/2020"
"Senhor dos Céus: Temporada 1: Golpe na alma","18/06/2020"
"Senhor dos Céus: Temporada 1: O regresso","18/06/2020"
"Senhor dos Céus: Temporada 1: Em busca de Ximena","18/06/2020"
"Senhor dos Céus: Temporada 1: Confissão de amor","18/06/2020"
"Senhor dos Céus: Temporada 1: Esta vida não é para mim","18/06/2020"
"Senhor dos Céus: Temporada 1: Nunca mais vai me ver","18/06/2020"
"Senhor dos Céus: Temporada 1: Me deixe fugir","18/06/2020"
"Senhor dos Céus: Temporada 1: Novo romance","18/06/2020"
"Senhor dos Céus: Temporada 1: Algo está mudando","18/06/2020"
"Senhor dos Céus: Temporada 1: Somando as mortes","17/06/2020"
"Senhor dos Céus: Temporada 1: Ligações com o narcotráfico","17/06/2020"
"Senhor dos Céus: Temporada 1: Fora do caminho","17/06/2020"
"Senhor dos Céus: Temporada 1: Confronto com criminosos","17/06/2020"
"Senhor dos Céus: Temporada 1: A agenda","17/06/2020"
"Senhor dos Céus: Temporada 1: Você vai me pagar","17/06/2020"
"Senhor dos Céus: Temporada 1: A amante do seu filho","17/06/2020"
"Senhor dos Céus: Temporada 1: A lista","16/06/2020"
"Senhor dos Céus: Temporada 1: Principais suspeitos","16/06/2020"
"Senhor dos Céus: Temporada 1: Fique de olhos abertos","16/06/2020"
"Senhor dos Céus: Temporada 1: Quem é o infiltrado","16/06/2020"
"Senhor dos Céus: Temporada 1: Tudo por vingança","16/06/2020"
"Senhor dos Céus: Temporada 1: Sequestrada","16/06/2020"
"Senhor dos Céus: Temporada 1: Tentações perigosas","16/06/2020"
"Senhor dos Céus: Temporada 1: Aqui está minha renúncia","15/06/2020"
"Senhor dos Céus: Temporada 1: Fora do negócio","15/06/2020"
"Senhor dos Céus: Temporada 1: Nas manchetes","15/06/2020"
"Senhor dos Céus: Temporada 1: A foto de Casillas","15/06/2020"
"Senhor dos Céus: Temporada 1: A primeira suspeita","15/06/2020"
"Senhor dos Céus: Temporada 1: As lojas de drogas","15/06/2020"
"Senhor dos Céus: Temporada 1: Um quadro de milhões","15/06/2020"
"Senhor dos Céus: Temporada 1: Aproveite-se de mim","15/06/2020"
"Senhor dos Céus: Temporada 1: Não morra!","15/06/2020"
"Senhor dos Céus: Temporada 1: Ciúmes que matam","14/06/2020"
"Senhor dos Céus: Temporada 1: Livre!","14/06/2020"
"Senhor dos Céus: Temporada 1: Sequestrados","14/06/2020"
"Senhor dos Céus: Temporada 1: Você vai pagar por isso!","14/06/2020"
"Senhor dos Céus: Temporada 1: Estou grávida","14/06/2020"
"Senhor dos Céus: Temporada 1: Que tentação!","14/06/2020"
"Senhor dos Céus: Temporada 1: Resgate suicida","14/06/2020"
"Senhor dos Céus: Temporada 1: Pacto de traficantes","14/06/2020"
"Senhor dos Céus: Temporada 1: Sou o rei","14/06/2020"
"Senhor dos Céus: Temporada 1: Morreu envenenado","14/06/2020"
"Jasão e os Argonautas","14/06/2020"
"Senhor dos Céus: Temporada 1: O casamento do ano","14/06/2020"
"Senhor dos Céus: Temporada 1: Case comigo!","14/06/2020"
"Senhor dos Céus: Temporada 1: Se salvou!","14/06/2020"
"Senhor dos Céus: Temporada 1: A queda do traficante","14/06/2020"
"Senhor dos Céus: Temporada 1: Aurélio trai Pablo","13/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 60","13/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 59","13/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 58","13/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 57","13/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 56","13/06/2020"
"Curon: Temporada 1: O lago","13/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 55","13/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 54","13/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 53","13/06/2020"
